time,water_depth_basin1,water_depth_basin2,orifice_setting,rain,forecast_low,forecast_high,forecast_int,overflow_duration_basin1,overflow_duration_basin2
2019-09-05 00:00,0.0,0.0,2.25,0,210,256,0.019991999999999992,0,0
2019-09-05 01:00,0.09348195381780362,0.14399697274544224,2.25,0.0,156,190,0.019991999999999992,0.0,0.0
2019-09-05 02:00,0.06185652125164992,0.09379398928580293,2.25,0.0,102,124,0.019991999999999992,0.0,0.0
2019-09-05 03:00,0.03377647796678895,0.05501685650127596,3.0,0.0,48,58,0.019991999999999992,0.0,0.0
2019-09-05 04:00,0.022283734357620016,0.03679763056473798,2.25,0.3090599999999999,0,0,0.01263913043478261,0.0,0.0
2019-09-05 05:00,0.022727838870592633,0.03242624836090153,2.25,0.29069999999999996,31,37,0.0434608695652174,0.0,0.0
2019-09-05 06:00,0.04227541779321776,0.03965913235104122,2.25,0.9996000000000005,721,721,0.0,0.0,0.0
2019-09-05 07:00,0.0641663641485244,0.03732226290929804,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 08:00,0.07061934363718589,0.03502712429316413,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 09:00,0.07229548253607018,0.033484759332039954,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 10:00,0.07164648076757953,0.032421142383424036,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 11:00,0.06971752523405106,0.03164827909747821,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 12:00,0.06707711710274804,0.031044010668874068,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 13:00,0.0640774142888227,0.030532828528119577,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 14:00,0.060949640698993404,0.03007054434094785,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 15:00,0.05784540155248133,0.029632915734107434,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 16:00,0.05485845371076691,0.029207731885171784,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 17:00,0.05203967055030632,0.02878962540954021,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 18:00,0.049409602658257855,0.028376853621714524,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 19:00,0.046969370285091176,0.027969405601090434,2.25,0.0,721,721,0.0,0.0,0.0
2019-09-05 20:00,0.0447093652254681,0.02756795235747396,3.0,0.0,617,755,0.036968571428571434,0.0,0.0
2019-09-05 21:00,0.020630751784901955,0.027206947283378354,2.25,0.0,563,689,0.029085818181818202,0.0,0.0
2019-09-05 22:00,0.03705248955788452,0.026811868612975052,2.25,0.0,509,623,0.029085818181818202,0.0,0.0
2019-09-05 23:00,0.037995081221028404,0.02641322400906374,2.25,0.0,455,557,0.029085818181818202,0.0,0.0
2019-09-06 00:00,0.03696730394589973,0.02603092871367771,2.25,0.0,401,491,0.029085818181818202,0.0,0.0
2019-09-06 01:00,0.035552616522144184,0.025664031435271302,2.25,0.0,347,425,0.029085818181818202,0.0,0.0
2019-09-06 02:00,0.03412016725050212,0.025309561086338053,2.25,0.0,293,359,0.029085818181818202,0.0,0.0
2019-09-06 03:00,0.032753608551924475,0.02496534037991397,2.25,0.0,239,293,0.029085818181818202,0.0,0.0
2019-09-06 04:00,0.03146614077814662,0.02463005744264444,2.25,0.0,185,227,0.029085818181818202,0.0,0.0
2019-09-06 05:00,0.030255320959304166,0.024302951167833712,2.25,0.0,131,161,0.029085818181818202,0.0,0.0
2019-09-06 06:00,0.029115978105530724,0.023983560710599417,2.25,0.0,77,95,0.029085818181818202,0.0,0.0
2019-09-06 07:00,0.0280428770813349,0.023671576327725912,2.25,0.0,23,29,0.029085818181818202,0.0,0.0
2019-09-06 08:00,0.07104298853416122,0.04073736264749975,2.25,1.2821399999999996,0,0,0.01512285714285714,0.0,0.0
2019-09-06 09:00,0.12856599877174868,0.04706105977361542,2.25,0.3175799999999973,133,163,0.030779999999999974,0.0,0.0
2019-09-06 10:00,0.1597347908182099,0.04773639510644108,2.25,0.0,79,97,0.030779999999999974,0.0,0.0
2019-09-06 11:00,0.17986140605048526,0.04891415160492367,2.25,0.0,25,31,0.030779999999999974,0.0,0.0
2019-09-06 12:00,0.20470410256757543,0.06209053169258739,2.25,0.800279999999999,198,242,0.010388311688311743,0.0,0.0
2019-09-06 13:00,0.23912802480118606,0.06955562204773563,2.25,0.0,144,176,0.010388311688311743,0.0,0.0
2019-09-06 14:00,0.26407147944538983,0.06873255807646929,2.25,0.0,90,110,0.010388311688311743,0.0,0.0
2019-09-06 15:00,0.2828473003913844,0.06723394367582161,2.25,0.0,36,44,0.010388311688311743,0.0,0.0
