t,rain,S_UC,w,c,Qout,o,Rain.rainLoc
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0
60.0,0.0,0.0,78.91287860821453,0.0,0.0,0.0,0
120.0,0.0,0.0,60.57130784289316,0.0,0.0,0.0,0
180.0,0.0,0.0,44.95566876557728,0.0,0.0,0.0,0
240.0,0.0,0.0,32.14002178998012,0.0,0.0,0.0,0
300.0,0.0,0.0,22.282690618467598,0.0,0.0,0.0,0
360.0,0.0,0.0,15.839279980020878,0.0,0.0,0.0,0
420.0,0.0,0.0,13.444461445266736,0.0,0.0,0.0,0
480.0,0.0,0.0,12.774531462574886,0.0,0.0,0.0,0
540.0,0.0,0.0,12.600041670539625,0.0,0.0,0.0,0
600.0,0.0,0.0,12.555551461135247,0.0,0.0,0.0,0
660.0,0.0,0.0,12.543890516409546,0.0,0.0,0.0,0
720.0,0.0,0.0,12.541982273399139,0.0,0.0,0.0,0
780.0,0.0,0.0,12.5414737097873,0.0,0.0,0.0,0
840.0,0.0,0.0,12.54133746499744,0.0,0.0,0.0,0
900.0,0.0,0.0,12.54130092139786,0.0,0.0,0.0,0
960.0,0.0,0.0,12.541291116658867,0.0,0.0,0.0,0
1020.0,0.0,0.0,8.89376933767226,0.0,0.0,0.0,0
1080.0,0.0,0.0,8.88633707408622,0.0,0.0,0.0,0
1140.0,0.0,0.0,11.733666143543338,0.0,0.0,0.0,0
1200.0,0.0,0.0,8.8853006849082,0.0,0.0,0.0,0
1260.0,0.0,0.0,8.886322707564538,0.0,0.0,0.0,0
1320.0,0.0,0.0,11.733663167808594,0.0,0.0,0.0,0
1380.0,0.0,0.0,12.342492848877583,0.0,0.0,0.0,0
1440.0,0.0,0.0,12.490963146943646,0.0,0.0,0.0,0
1500.0,0.0,0.0,12.527732214127397,0.0,0.0,0.0,0
1560.0,0.0,0.0,8.893737318256903,0.0,0.0,0.0,0
1620.0,0.0,0.0,11.735196934573542,0.0,0.0,0.0,0
1680.0,0.0,0.0,12.342879309011435,0.0,0.0,0.0,0
1740.0,0.0,0.0,12.49106525383624,0.0,0.0,0.0,0
1800.0,0.0,0.0,12.52775908986711,0.0,0.0,0.0,0
1860.0,0.0,0.0,12.537606638918977,0.0,0.0,0.0,0
1920.0,0.0,0.0,12.864934333038185,0.0,0.0,0.0,0
1980.0,0.0,0.0,8.89745946130809,0.0,0.0,0.0,0
2040.0,0.0,0.0,11.735964626194598,0.0,0.0,0.0,0
2100.0,0.0,0.0,12.343072987851176,0.0,0.0,0.0,0
2160.0,0.0,0.0,12.615870229657226,0.0,0.0,0.0,0
2220.0,0.0,0.0,12.559918824905896,0.0,0.0,0.0,0
2280.0,0.0,0.0,12.54494592769435,0.0,0.0,0.0,0
2340.0,0.0,0.0,12.542261295530263,0.0,0.0,0.0,0
2400.0,0.0,0.0,12.5767810425923,0.0,0.0,0.0,0
2460.0,0.0,0.0,12.618173638290273,0.0,0.0,0.0,0
2520.0,0.0,0.0,12.57267018226655,0.0,0.0,0.0,0
2580.0,0.0,0.0,8.905286611050062,0.0,0.0,0.0,0
2640.0,0.0,0.0,11.74405087219898,0.0,0.0,0.0,0
2700.0,0.0,0.0,12.345120475594221,0.0,0.0,0.0,0
2760.0,0.0,0.0,8.886633313449517,0.0,0.0,0.0,0
2820.0,0.0,0.0,11.733727501032702,0.0,0.0,0.0,0
2880.0,0.0,0.0,12.342509044831932,0.0,0.0,0.0,0
2940.0,0.0,0.0,12.49096742596135,0.0,0.0,0.0,0
3000.0,0.0,0.0,12.527733340325314,0.0,0.0,0.0,0
3060.0,0.0,0.0,12.537599575669631,0.0,0.0,0.0,0
3120.0,0.0,0.0,12.540292567599362,0.0,0.0,0.0,0
3180.0,0.0,0.0,8.887072745860463,0.0,0.0,0.0,0
